 106.5   112.4   111.8   113.3   124.5   124.3   116.5   118.6   119.6
   119.4   128.6   126.3   126.8   125.7   120.8   127.9   147.6   169.8
   177.6   172.5   170.1   171.3   189.9   206.9   197.4   195.0   214.2
   219.2   205.6   193.4   185.1   174.0   173.2   164.5   159.0   169.7
   174.4   186.2   184.7   176.4   167.6   170.9   168.2   176.4   168.6
   164.6   170.1   169.4   149.6   139.5   137.3   129.7   128.4   126.9
   128.8   126.5   116.6   113.4   102.8   107.7   109.4   114.9   117.5
   120.0   117.6   124.0   119.7   125.0   141.1   137.0   132.3   134.8
   129.7   128.7   129.9   137.2   132.8   127.5   131.2   137.1   135.5
   147.1   151.6   173.7   171.6   170.8   172.4   174.9   168.1   164.7
   170.0   164.9   157.9   169.2   168.6   179.8   179.0   179.2   181.4
   181.8
